PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
203506,Victor Oladipo,SG,33.0,42.0,10.69,3.14,3.25,15,1
203469,Cody Zeller,C-PF,35.5,37.5,10.82,2.69,3.15,17,1
203458,Alex Len,C,,,,,,,1
203457,Nerlens Noel,C,,,,,,,2
203463,Ben McLemore,SG,32.5,42.0,11.87,3.11,3.27,6,2
203484,Kentavious Caldwell-Pope,SG,29.0,34.5,10.6,3.2,3.12,7,2
203504,Trey Burke,PG,29.5,36.5,11.2,3.01,3.16,3,2
203468,CJ McCollum,PG-SG,32.0,38.5,11.02,2.91,3.32,13,2
203487,Michael Carter-Williams,PG,31.5,41.0,10.68,3.7,3.22,8,3
203500,Steven Adams,C,28.5,33.0,11.85,3.02,3.4,16,3
203482,Kelly Olynyk,PF-C,24.5,29.5,11.42,2.99,3.59,5,3
203498,Shabazz Muhammad,SF-SG,29.5,37.0,10.99,2.93,3.32,10,3
203471,Dennis Schroder,PG,30.0,34.0,11.09,2.86,3.21,1,4
203499,Shane Larkin,PG,34.5,44.0,10.64,3.03,3.08,12,4
203503,Tony Snell,SF-SG,30.0,36.5,11.36,2.84,3.25,7,4
203476,Gorgui Dieng,C,,,,,,,5
203486,Mason Plumlee,C-PF,30.5,36.0,10.89,2.76,3.29,14,5
203524,Solomon Hill,SF,29.5,37.5,10.77,2.91,3.19,14,5
203501,Tim Hardaway Jr.,SG,31.5,37.5,10.68,2.93,3.25,16,5
203493,Reggie Bullock,SG-SF,31.0,36.5,11.33,3.3,3.31,11,5
203460,Andre Roberson,PF-SF,30.0,36.5,11.36,3.02,3.34,10,6
203497,Rudy Gobert,C,25.0,29.0,12.85,3.19,3.57,7,6
203462,Archie Goodwin,SG,30.0,36.0,10.75,3.41,3.27,1,6
203459,Allen Crabbe,SG,30.5,36.0,10.67,3.1,3.32,10,7
203467,Carrick Felix,SF-SG,32.0,38.5,11.16,3.09,3.25,15,7
203477,Isaiah Canaan,PG,33.0,40.5,10.98,2.89,3.22,16,7
203318,Glen Rice,SF-SG,33.0,40.5,10.99,3.08,3.25,10,7
203492,Ray McCallum,PG,30.5,40.0,10.82,3.08,3.25,5,8
203502,Tony Mitchell,PF-SF,33.5,38.0,11.82,3.25,3.52,13,8
203489,Nate Wolters,PG,,,,,,8,8
203481,Jeff Withey,C,26.5,29.0,12.49,3.29,3.47,10,8
203511,Grant Jerrett,PF,28.5,34.0,11.85,3.23,3.51,2,8
203479,Jamaal Franklin,SG-SF,,,,,,,9
203510,Pierre Jackson,PG,,,,,,,9
203495,Ricky Ledo,SG,27.0,33.5,10.72,3.16,3.32,4,9
203488,Mike Muscala,C-PF,28.0,33.5,11.76,2.99,3.44,5,9
203475,Erick Green,PG,,,,,,5,10
203527,Ryan Kelly,PF,,,,,,,10
203513,Erik Murphy,PF,24.5,29.5,12.19,2.96,3.57,13,10
203485,Lorenzo Brown,PG,28.0,34.0,11.78,3.24,3.4,8,11
203470,Colton Iverson,C,26.5,30.0,11.52,3.04,3.52,12,11
203491,Peyton Siva,PG,33.5,41.5,10.59,2.93,3.16,15,12
203472,Deshaun Thomas,SF,28.5,32.0,12.94,3.38,3.53,5,12
